pmid	title	abstract	label
20395400	Life-threatening danger and suppression of attention bias to threat.	OBJECTIVE: Life-threatening danger is assumed to produce, in tandem, increases in both vigilance toward threat and stress-related symptoms, but no data test the validity of this assumption. The authors examined associations, in real time, among imminent life-threatening danger, stress-related symptoms, and vigilance. METHOD: Symptoms of posttraumatic stress disorder (PTSD), depression, and anxiety were measured in a civilian population (N=131) as a function of war-related stress, operationalized as the time available for seeking cover from rocket attack. A computerized measure of threat-related vigilance using a classic dot-probe attention task was also collected. RESULTS: PTSD symptoms, depression, and anxiety increased as a function of war-related threat. Acute proximal threat was associated with avoidance of, rather than vigilance toward, negative valence information. For participants within rocket range, the magnitude of threat bias varied with the magnitude of distress symptoms, such that as bias away from threat increased, distress symptoms increased. CONCLUSIONS: These data challenge current thinking about the role of attention in stress responding. Attentional threat avoidance may reduce the acute impact of imminent threat, but this may come at a price in terms of an elevated risk for psychopathology.	1
28675115	Nicotine disrupts safety learning by enhancing fear associated with a safety cue via the dorsal hippocampus.	Learned safety, a learning process in which a cue becomes associated with the absence of threat, is disrupted in individuals with post-traumatic stress disorder (PTSD). A bi-directional relationship exists between smoking and PTSD and one potential explanation is that nicotine-associated changes in cognition facilitate PTSD emotional dysregulation by disrupting safety associations. Therefore, we investigated whether nicotine would disrupt learned safety by enhancing fear associated with a safety cue. In the present study, C57BL/6 mice were administered acute or chronic nicotine and trained over three days in a differential backward trace conditioning paradigm consisting of five trials of a forward conditioned stimulus (CS)+ (Light) co-terminating with a footshock unconditioned stimulus followed by a backward CS- (Tone) presented 20 s after cessation of the unconditioned stimulus. Summation testing found that acute nicotine disrupted learned safety, but chronic nicotine had no effect. Another group of animals administered acute nicotine showed fear when presented with the backward CS (Light) alone, indicating the formation of a maladaptive fear association with the backward CS. Finally, we investigated the brain regions involved by administering nicotine directly into the dorsal hippocampus, ventral hippocampus, and prelimbic cortex. Infusion of nicotine into the dorsal hippocampus disrupted safety learning.	0
19931549	Cortisol administration acutely reduces threat-selective spatial attention in healthy young men.	There is mounting evidence that single administrations of glucocorticoids may acutely reduce human fear. We previously reported that administration of cortisol acutely reduced non-spatial selective attention to fearful faces and likewise reduced preferential processing of fearful faces in a spatial working memory task. Here we report the acute effects of 40 mg cortisol (administered in a double-blind, placebo-controlled crossover design) on a different experimental task for measuring threat-selective attention. Twenty healthy young males had to localize a target which was presented in a peripheral location that was either gazed at or not by a preceding dynamic happy or fearful face. This reliable method has been used repeatedly to demonstrate fear-driven selective attention. Present results showed that after placebo, as usual, the fearful gaze cues caused stronger orienting of attention than happy faces. Cortisol abolished this typical anxious response pattern, but only in low anxious participants. These data provide evidence that cortisol acutely influences also spatial threat-selective attention. Possible neuroendocrine mechanisms are discussed.	0
24076207	Affective and neuroendocrine effects of withdrawal from chronic, long-acting opiate administration.	Although the long-acting opiate methadone is commonly used to treat drug addiction, relatively little is known about the effects of withdrawal from this drug in preclinical models. The current study examined affective, neuroendocrine, and somatic signs of withdrawal from the longer-acting methadone derivative l-alpha-acetylmethydol (LAAM) in rats. Anxiety-like behavior during both spontaneous and antagonist-precipitated withdrawal was measured by potentiation of the startle reflex. Withdrawal elevated corticosterone and somatic signs and blunted circadian variations in baseline startle responding. In addition, fear to an explicit, Pavlovian conditioned stimulus (fear-potentiated startle) was enhanced. These data suggest that anxiety-like behavior as measured using potentiated startle responding does not emerge spontaneously during withdrawal from chronic opiate exposure - in contrast to withdrawal from acute drug exposure - but rather is manifested as exaggerated fear in response to explicit threat cues.	0
16204321	Sensitivity of late-latency auditory and somatosensory evoked potentials to threat of electric shock and the sedative drugs diazepam and diphenhydramine in human volunteers.	Late-latency auditory and somatosensory evoked potentials are sensitive to some centrally acting drugs and to certain psychological interventions. In this experiment we compared the effects of acute doses of a benzodiazepine, diazepam and an H(1) histamine receptor-blocking sedative, diphenhydramine, on auditory and somatosensory evoked potentials within the latency range 100-500 ms in a fear conditioning paradigm. Twelve healthy males (18-30 years) participated in three sessions at weekly intervals in which they received diazepam 10mg, diphenhydramine 75 mg and placebo in a balanced, double-blind, crossover protocol. One hundred and twenty min after diphenhydramine or 60 min after diazepam, they underwent an 8 min recording period in which auditory evoked potentials elicited by 40 ms, 95 dB[A], 1 kHz tones, and somatosensory evoked potentials elicited by a mildly painful electric shock (1.8 mA, 50 ms) were recorded at Cz (vertex). Each session consisted of four blocks of trials in which either the sound pulse or the shock was presented. Alternate blocks were designated SAFE or THREAT ('context' conditions); in THREAT blocks subjects were warned that shocks would be delivered via electrodes placed on the wrist (electrodes were removed during SAFE blocks). In one SAFE and one THREAT block, the sound stimuli and shocks (shocks were delivered only in the THREAT block) were preceded by a 2 s conditioned stimulus (CS: a red light) ('cue' condition). Diazepam, but not diphenhydramine, reduced the amplitude of the P2 auditory evoked potential. The THREAT context was associated with increased N1 and reduced N2 potential amplitudes. The CS had no effect on the amplitudes, but markedly reduced the latencies of the N1, P2 and N2 potentials under the THREAT condition. Diazepam reduced the amplitudes of the somatosensory potential evoked by the shock; the CS shortened the latencies of the later components of the response. Diazepam and diphenhydramine were approximately equi-sedative in the doses used in this experiment, as judged by visual analogue self-rating scales. The results indicate that the suppression of late-latency auditory and somatosensory evoked potentials by diazepam is not simply a reflection of sedation. Late-latency evoked potentials can be modified by an aversive CS, but the components that are sensitive to the CS are different from those that are sensitive to diazepam.	0
27173662	Association between problematic alcohol use and reactivity to uncertain threat in two independent samples.	BACKGROUND: Recent laboratory studies have shown that acute alcohol intoxication selectively and effectively dampens aversive responding to uncertain threat. An emerging hypothesis is that individuals who exhibit heightened reactivity to uncertain threat may be especially motivated to use alcohol to dampen their distress, setting the stage for negative reinforcement processes to drive excessive alcohol use. However, no study to date has directly examined whether current problematic drinkers exhibit heightened reactivity to uncertain threat as would be expected. METHODS: The present study was therefore designed to examine the association between current problematic alcohol use and reactivity to uncertain threat during sobriety in two, independent samples. In Study 1 (n=221) and Study 2 (n=74), adult participants completed the same well-validated threat-of-shock task which separately probes responses to temporally predictable and unpredictable threat. Startle potentiation was measured as an index of aversive responding. Problematic alcohol use was defined as number of binge episodes within the past 30days in Study 1 and total scores on a self-report measure of hazardous drinking in Study 2. RESULTS: As hypothesized, across both studies greater levels of problematic drinking were associated with greater startle potentiation to unpredictable threat. In Study 2, hazardous drinking scores were also positively associated with startle potentiation to predictable threat. CONCLUSIONS: The findings are notably consistent with the notion that heightened reactivity to uncertain threat is an important individual difference factor associated with the onset and/or maintenance of problematic drinking behaviors and may therefore be a novel prevention and intervention target.	1
20866019	Philosophical reflections on narrative and deep brain stimulation.	Deep brain stimulation (DBS) has in some cases been associated with significant psychological effects and/or personality change. These effects occur sometimes as acute changes experienced intraoperatively or during the initial setting of the stimulator and sometimes as longer term progressive changes in the months following surgery. Sometimes they are the intended outcome of treatment, and in other cases they are an unintended side-effect. In all of these circumstances some patients and caregivers have described the psychological effects of DBS as frightening or disconcerting. I trace the source of these negative reactions to the fear that stimulation-related psychological and personality changes represent a threat to personal identity and agency. This issue has implications both for philosophical theories of personal identity and agency and for clinical concerns. A narrative account of personal identity is developed to illuminate the nature of the threat to identity and agency DBS potentially poses, and to suggest steps that might be taken to mitigate and avoid these threats.	1
16247114	Peritraumatic responses and their relationship to perceptions of threat in female crime victims.	Peritraumatic responses, aside from dissociation, have been understudied in acute trauma populations. Participants were 172 female rape, 68 assault, and 80 robbery victims recruited through formal reporting agencies and assessed 1 month after the crime. Despite substantial overlap across crimes, rape victims reported more emotional responses reflecting fear, detachment, shame, and more nonactive behavioral responses. Regression analysis examining the prediction of perceived threat by peritraumatic responses and crime variables indicated that increased duration of crimes; decreased calmness; increased fear; numbing; use of begging, pleading, and crying; and attempts to reason with the perpetrator(s) were all significantly associated with increased appraisal of threat.	1
29555429	Anticipatory prefrontal cortex activity underlies stress-induced changes in Pavlovian fear conditioning.	Excessive stress exposure often leads to emotional dysfunction, characterized by disruptions in healthy emotional learning, expression, and regulation processes. A prefrontal cortex (PFC)-amygdala circuit appears to underlie these important emotional processes. However, limited human neuroimaging research has investigated whether these brain regions underlie the altered emotional function that develops with stress. Therefore, the present study used functional magnetic resonance imaging (fMRI) to investigate stress-induced changes in PFC-amygdala function during Pavlovian fear conditioning. Participants completed a variant of the Montreal Imaging Stress Task (MIST) followed (25min later) by a Pavlovian fear conditioning task during fMRI. Self-reported stress to the MIST was used to identify three stress-reactivity groups (Low, Medium, and High). Psychophysiological, behavioral, and fMRI signal responses were compared between the three stress-reactivity groups during fear conditioning. Fear learning, indexed via participant expectation of the unconditioned stimulus during conditioning, increased with stress reactivity. Further, the High stress-reactivity group demonstrated greater autonomic arousal (i.e., skin conductance response, SCR) to both conditioned and unconditioned stimuli compared to the Low and Medium stress-reactivity groups. Finally, the High stress group did not regulate the emotional response to threat. More specifically, the High stress-reactivity group did not show a negative relationship between conditioned and unconditioned SCRs. Stress-induced changes in these emotional processes paralleled changes in dorsolateral, dorsomedial, and ventromedial PFC function. These findings demonstrate that acute stress facilitates fear learning, enhances autonomic arousal, and impairs emotion regulation, and suggests these stress-induced changes in emotional function are mediated by the PFC.	0
25414863	The perceived threat in adults with leukemia undergoing hematopoietic stem cell transplantation.	"BACKGROUND: Leukemia and hematopoietic stem cell transplantation (HSCT) create physical, psychological, social, and spiritual distresses in patients. Understanding this threatening situation in adults with leukemia undergoing HSCT will assist health care professionals in providing holistic care to the patients. OBJECTIVES: The aim of the present study was exploring the perceived threat in adults with leukemia undergoing HSCT. PATIENTS AND METHODS: This article is part of a longitudinal qualitative study which used the grounded theory approach and was conducted in 2009-2011. Ten adults with acute leukemia scheduled for HSCT were recruited from the Hematology-Oncology Research Center and Stem Cell Transplantation, Shariati Hospital in Tehran, Iran. A series of pre-transplant and post-transplant in-depth interviews were held in the hospital's HSCT wards. Totally, 18 interviews were conducted. Three written narratives were also obtained from the participants. The Corbin and Strauss approach was used to analyze the data. RESULTS: Perceived threat was one of the main categories that emerged from the data. This category included four subcategories, ""inattention to the signs and symptoms"", ""doubt and anxiety"", ""perception of danger and time limitation"" and ""change of life conditions"", which occurred in linear progression over time. CONCLUSION: Suffering from leukemia and experiencing HSCT are events that are uniquely perceived by patients. This threatening situation can significantly effect perception of patients and cause temporary or permanent alterations in patients' lives. Health care professionals can help these patients by deeper understanding of their experiences and effective interventions."	1
